title,artist,image,peakPos,lastPos,weeks,rank,isNew,date
All I Want For Christmas Is You,Mariah Carey,,1,1,37,1,False,2020-01-04
Rockin' Around The Christmas Tree,Brenda Lee,,2,2,32,2,False,2020-01-04
Jingle Bell Rock,Bobby Helms,,3,9,30,3,False,2020-01-04
A Holly Jolly Christmas,Burl Ives,,4,6,15,4,False,2020-01-04
Circles,Post Malone,,1,3,17,5,False,2020-01-04
Roxanne,Arizona Zervas,,4,4,8,6,False,2020-01-04
It's The Most Wonderful Time Of The Year,Andy Williams,,7,15,15,7,False,2020-01-04
Someone You Loved,Lewis Capaldi,,1,8,33,8,False,2020-01-04
Memories,Maroon 5,,4,7,14,9,False,2020-01-04
Good As Hell,Lizzo,,3,10,18,10,False,2020-01-04
Last Christmas,Wham!,,11,17,14,11,False,2020-01-04
Feliz Navidad,Jose Feliciano,,12,23,9,12,False,2020-01-04
The Box,Roddy Ricch,,13,18,3,13,False,2020-01-04
Dance Monkey,Tones And I,,9,11,12,14,False,2020-01-04
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,,15,28,8,15,False,2020-01-04
The Christmas Song (Merry Christmas To You),Nat King Cole,,11,30,21,16,False,2020-01-04
"10,000 Hours",Dan + Shay & Justin Bieber,,4,13,12,17,False,2020-01-04
Lose You To Love Me,Selena Gomez,,1,12,10,18,False,2020-01-04
Ballin',Mustard & Roddy Ricch,,14,14,23,19,False,2020-01-04
BOP,DaBaby,,11,16,13,20,False,2020-01-04
Sleigh Ride,The Ronettes,,21,37,7,21,False,2020-01-04
Rudolph The Red-Nosed Reindeer,Gene Autry,,16,36,8,22,False,2020-01-04
Bad Guy,Billie Eilish,,1,25,39,23,False,2020-01-04
Happy Holiday / The Holiday Season,Andy Williams,,24,40,4,24,False,2020-01-04
No Guidance,Chris Brown Featuring Drake,,5,20,29,25,False,2020-01-04
Senorita,Shawn Mendes & Camila Cabello,,1,21,27,26,False,2020-01-04
Bandit,Juice WRLD & YoungBoy Never Broke Again,,10,19,12,27,False,2020-01-04
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,,28,50,4,28,False,2020-01-04
Christmas (Baby Please Come Home),Darlene Love,,29,0,3,29,False,2020-01-04
Panini,Lil Nas X,,5,29,27,30,False,2020-01-04
Underneath The Tree,Kelly Clarkson,,31,0,5,31,False,2020-01-04
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,,28,47,6,32,False,2020-01-04
Hot,Young Thug Featuring Gunna,,11,31,19,33,False,2020-01-04
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,,1,41,43,34,False,2020-01-04
Truth Hurts,Lizzo,,1,32,34,35,False,2020-01-04
Run Rudolph Run,Chuck Berry,,36,0,5,36,False,2020-01-04
(There's No Place Like) Home For The Holidays,Perry Como,,32,0,3,37,False,2020-01-04
HIGHEST IN THE ROOM,Travis Scott,,1,27,12,38,False,2020-01-04
Heartless,The Weeknd,,1,26,5,39,False,2020-01-04
Blue Christmas,Elvis Presley,,40,0,2,40,False,2020-01-04
Everything I Wanted,Billie Eilish,,8,34,7,41,False,2020-01-04
White Christmas,Bing Crosby,,12,0,16,42,False,2020-01-04
Jingle Bells,Frank Sinatra,,43,0,2,43,False,2020-01-04
Like It's Christmas,Jonas Brothers,,44,53,4,44,False,2020-01-04
Baby It's Cold Outside,Dean Martin,,45,0,1,45,True,2020-01-04
Trampoline,SHAED,,13,33,30,46,False,2020-01-04
Woah,Lil Baby,,16,35,7,47,False,2020-01-04
Futsal Shuffle 2020,Lil Uzi Vert,,5,5,2,48,False,2020-01-04
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,,49,0,1,49,True,2020-01-04
Ran$om,Lil Tecca,,4,39,30,50,False,2020-01-04
Falling,Trevor Daniel,,36,38,6,51,False,2020-01-04
Don't Start Now,Dua Lipa,,30,42,8,52,False,2020-01-04
Adore You,Harry Styles,,24,24,3,53,False,2020-01-04
One Man Band,Old Dominion,,20,44,18,54,False,2020-01-04
Hot Girl Bummer,blackbear,,41,51,15,55,False,2020-01-04
Suicidal,YNW Melly & Juice WRLD,,56,58,5,56,False,2020-01-04
Lover,Taylor Swift,,10,48,19,57,False,2020-01-04
On Chill,Wale Featuring Jeremih,,22,46,20,58,False,2020-01-04
Even Though I'm Leaving,Luke Combs,,11,49,17,59,False,2020-01-04
No Idea,Don Toliver,,43,43,4,60,False,2020-01-04
Graveyard,Halsey,,34,52,15,61,False,2020-01-04
My Oh My,Camila Cabello Featuring DaBaby,,61,61,3,62,False,2020-01-04
Juicy,Doja Cat & Tyga,,47,57,9,63,False,2020-01-04
The Bones,Maren Morris,,48,55,14,64,False,2020-01-04
Playing Games,Summer Walker,,16,56,17,65,False,2020-01-04
Heat,Chris Brown Featuring Gunna,,36,59,17,66,False,2020-01-04
Into The Unknown,Idina Menzel & AURORA,,46,65,5,67,False,2020-01-04
VIBEZ,DaBaby,,21,60,13,68,False,2020-01-04
Happy Xmas (War Is Over),John Legend,,69,0,1,69,True,2020-01-04
Heart On Ice,Rod Wave,,54,70,7,70,False,2020-01-04
What If I Never Get Over You,Lady Antebellum,,47,68,18,71,False,2020-01-04
Blinding Lights,The Weeknd,,11,63,4,72,False,2020-01-04
Ridin' Roads,Dustin Lynch,,66,66,8,73,False,2020-01-04
Camelot,NLE Choppa,,37,71,15,74,False,2020-01-04
Heartache Medication,Jon Pardi,,67,72,13,75,False,2020-01-04
Start Wit Me,Roddy Ricch & Gunna,,58,69,6,76,False,2020-01-04
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,,8,76,16,77,False,2020-01-04
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",,60,77,12,78,False,2020-01-04
Hate Me,Ellie Goulding & Juice WRLD,,56,75,20,79,False,2020-01-04
Kinfolks,Sam Hunt,,62,81,11,80,False,2020-01-04
Let Me Know (I Wonder Why Freestyle),Juice WRLD,,78,78,2,81,False,2020-01-04
Remember You Young,Thomas Rhett,,53,73,15,82,False,2020-01-04
Death,Trippie Redd Featuring DaBaby,,59,74,6,83,False,2020-01-04
223's,YNW Melly & 9lokknine,,34,91,16,84,False,2020-01-04
Slide,H.E.R. Featuring YG,,85,0,1,85,True,2020-01-04
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,,86,89,5,86,False,2020-01-04
Watermelon Sugar,Harry Styles,,54,54,5,87,False,2020-01-04
Homesick,Kane Brown,,88,96,6,88,False,2020-01-04
Slow Dancing In The Dark,Joji,,69,88,12,89,False,2020-01-04
Easy,DaniLeigh Featuring Chris Brown,,88,97,8,90,False,2020-01-04
Vete,Bad Bunny,,33,85,5,91,False,2020-01-04
Baby Sitter,DaBaby Featuring Offset,,59,93,20,92,False,2020-01-04
Nice To Meet Ya,Niall Horan,,63,82,11,93,False,2020-01-04
Yellow Hearts,Ant Saunders,,81,95,7,94,False,2020-01-04
Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,,73,80,4,95,False,2020-01-04
Candy,Doja Cat,,86,94,5,96,False,2020-01-04
BEST ON EARTH,Russ & BIA,,92,92,3,97,False,2020-01-04
