,peak_rank,debut_rank,lifetime_peak_rank,sensationality,avg_rank_score,std_rank_score,time_on_chart,num_occurrences,rank_sum,skewness,kurtosis,spotify_popularity,top_10,top_25,top_50
0,1,1.0,1,0.9999987959108785,0.2701833607006021,0.3169131493344862,50,14,2.1614668856048165,1.395650208424376,0.6738143295078327,69.0,True,True,True
1,2,0.5,2,0.9989580780468381,0.12390822681614781,0.15676405624914935,44,17,1.362990494977626,1.3526974037870245,0.4509217760077737,62.0,True,True,True
2,3,0.3333333333333333,3,0.9811216935256595,0.15125448028673835,0.09918181071743648,41,12,1.2100358422939068,0.4773320050213015,-0.9857642959942621,62.0,True,True,True
3,4,0.25,4,0.9313503872270166,0.12105995175848117,0.0750932315003613,25,11,0.9684796140678493,0.37899460003955227,-1.3079405963466075,54.0,True,True,True
4,1,0.2,1,0.9999992062168455,0.15309435883846764,0.21509662761881004,61,47,2.9087928179308853,3.1824067389405735,9.7119513106805,86.0,True,True,True
5,5,0.16666666666666666,4,0.9799000968118843,0.10185819629599534,0.05167113303014299,26,19,1.1204401592559488,0.32740131237948156,-0.9060947545066984,80.0,True,True,True
6,5,0.14285714285714285,5,0.8697913137459159,0.09776009776009775,0.058212827314932394,26,12,0.8798408798408799,0.3515376811814731,-1.1318883286545525,59.0,True,True,True
7,4,0.125,1,0.9860168166967018,0.11588478366553234,0.06199844387544879,54,22,1.2747326203208558,0.8807827866166593,-0.35878927179146514,86.0,True,True,True
8,2,0.1111111111111111,2,0.9969881537433873,0.09743995275616667,0.11250101486385622,41,28,1.8513591023671665,2.48670909315708,5.902524375273661,86.0,True,True,True
9,6,0.1,3,0.7209068878480327,0.06996389345290444,0.04159141753401045,30,13,0.9095306148877577,0.8053124555979133,-0.08726164490015798,74.0,True,True,True
10,7,0.09090909090909091,7,0.6954036993416375,0.07292491459158125,0.03663487821754678,24,11,0.6563242313242312,0.3583117667565587,-0.6772862152949313,67.0,True,True,True
11,6,0.08333333333333333,6,0.7212286706282842,0.08307787891121225,0.04301661116541591,19,11,0.7477009102009102,0.33207057929159045,-0.5081715918340444,0.0,True,True,True
12,1,0.07692307692307693,1,0.9999999999997664,0.15450478133437096,0.23245039240166088,38,36,2.9355908453530484,2.650634997537496,6.52977827668089,82.0,True,True,True
13,4,0.07142857142857142,4,0.9771428602311729,0.07332758082036965,0.06610848499911312,36,25,1.2465688739462841,1.4454699060359903,1.0265962046029262,80.0,True,True,True
14,8,0.06666666666666667,8,0.5932474703604906,0.06339345872207797,0.03115177257946144,18,11,0.5705411284987019,0.4318859791699842,-0.5255832694083713,0.0,True,True,True
15,11,0.0625,11,0.5681746872795745,0.05274170274170274,0.0229294671740065,31,11,0.3691919191919192,-0.0034952750655785785,-0.923954854491801,56.0,False,True,True
16,5,0.058823529411764705,4,0.9133637112748596,0.07751625707288143,0.05316007223242561,30,19,1.2402601131661029,0.9638354275910312,-0.30986349570969507,79.0,True,True,True
17,5,0.05555555555555555,1,0.7724695074665184,0.06878942577783022,0.05076741491837243,23,14,0.687894257778302,1.547073511692879,1.651324102916357,81.0,True,True,True
18,11,0.05263157894736842,11,0.8099588816449308,0.04900411325526233,0.0205213682501887,44,22,0.8820740385947218,0.5063441572733909,-0.7498538317845194,79.0,False,True,True
19,12,0.05,11,0.7410282536403385,0.049148580156385985,0.020387680376592037,30,18,0.5897829618766318,0.301096369249724,-1.3755428422344158,78.0,False,True,True
20,10,0.047619047619047616,10,0.5072574893025428,0.06135364196726042,0.01872926535102247,15,9,0.42947549377082295,1.1099930449501711,-0.1561538969956815,0.0,True,True,True
21,16,0.045454545454545456,16,0.34563981382710707,0.040053718539048724,0.011972294193983176,16,9,0.3604834668514385,0.4699360767597868,-1.0079466643813788,49.0,False,True,True
22,14,0.043478260869565216,1,0.3895248122378756,0.03738542980630851,0.014715468399349334,49,11,0.4112397278693936,1.1593204868549352,0.24165026660501532,85.0,False,True,True
23,18,0.041666666666666664,18,0.35121382475314156,0.04104577034977643,0.008330051432694054,12,9,0.32836616279821146,0.32985641843661023,-1.0558259801687513,48.0,False,True,True
24,15,0.04,5,0.5787766022205134,0.03677268955215946,0.013491148760514295,46,18,0.5883630328345514,0.9208368140590226,-0.22487364820007105,80.0,False,True,True
25,11,0.038461538461538464,1,0.4198272416043205,0.04090207434684179,0.01864162983804845,37,11,0.4090207434684178,1.8238545539977253,2.3369115086938637,4.0,False,True,True
26,22,0.037037037037037035,10,0.24236914668407783,0.028251623767439907,0.00958902019716785,20,9,0.22601299013951925,0.45351305892866356,-1.1148466905754129,78.0,False,True,True
27,12,0.03571428571428571,12,0.5791448685550125,0.04132344026377334,0.016849808482895884,11,16,0.6611750442203734,0.9711082039998575,0.11883919582992064,59.0,False,True,True
28,16,0.034482758620689655,16,0.3558387248082515,0.04151415030317723,0.013711905719807432,11,9,0.33211320242541786,0.319846426779835,-1.4482973679963735,59.0,False,True,True
29,17,0.03333333333333333,5,0.21403722188973573,0.03623309970588012,0.012477435192519072,32,6,0.21739859823528074,0.5776675978753185,-0.6719859712181813,73.0,False,True,True
30,12,0.03225806451612903,12,0.4266723871814768,0.04558213530794176,0.019250378265485632,14,10,0.45582135307941757,0.8805186787619982,-0.44834171726987604,51.0,False,True,True
31,26,0.03125,26,0.13885693381413522,0.02799551746562616,0.008696282165525251,10,5,0.11198206986250464,-0.4869557520524942,-1.0175101281291676,48.0,False,False,True
32,21,0.030303030303030304,11,0.25201279355889006,0.028617883109194418,0.009749494329432127,26,9,0.25756094798274975,0.7594538819963177,-0.6968484848888927,83.0,False,True,True
33,15,0.029411764705882353,1,0.11727543074281876,0.03927252060244387,0.01962221119217528,45,3,0.11781756180733162,0.6268881134772105,-1.4999999999999987,81.0,False,True,True
34,18,0.02857142857142857,1,0.285922182024267,0.033193536813520504,0.011793215106970747,42,9,0.26554829450816403,0.9766291448124591,-0.6695298343595395,76.0,False,True,True
35,10,0.027777777777777776,10,0.3340722123291284,0.0411317573006214,0.024449743711826472,13,9,0.2879223011043498,1.9016247889319031,1.8528921441846267,55.0,True,True,True
36,22,0.02702702702702703,22,0.2582530751078349,0.029077899721468337,0.008803945937214152,11,9,0.17446739832881003,0.8813129637249456,-0.735155769798125,43.0,False,True,True
37,8,0.02631578947368421,1,0.5045647653103478,0.052909536284149294,0.029456527087137627,22,11,0.5290953628414929,1.2747252108704825,0.855463594414339,83.0,True,True,True
