billboard_name,spotify_name,artist,duration_ms,spotify_id,spotify_uri,spotify_external_url,spotify_popularity,spotify_artist_popularity,spotify_artist_popularity_mean,explicit,preview_url,preview_url_audio,full_audio,full_audio_duration_s,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,audio_analysis_file
All I Want For Christmas Is You,All I Want for Christmas Is You,Mariah Carey,241106.0,0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,69.0,[81],81.0,False,https://p.scdn.co/mp3-preview/0d3f660241b04b1e95ae43decced213696114ad0?cid=064f7f00e33f41f2ba917f2f07083867,previews/All I Want For Christmas Is You.wav,Mariah Carey  All I Want For Christmas Is You Lyrics.wav,242.0,"['dance pop', 'pop', 'urban contemporary']",0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273,4.0,All I Want For Christmas Is You.json
Rockin' Around The Christmas Tree,Rockin' Around The Christmas Tree,Brenda Lee,126266.0,2EjXfH91m7f8HiJN1yQg97,spotify:track:2EjXfH91m7f8HiJN1yQg97,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,62.0,[59],59.0,False,,,Brenda Lee  Rockin Around The Christmas Tree Official Lyric Video.wav,128.0,"['adult standards', 'brill building pop', 'lounge', 'rockabilly', 'vocal jazz']",0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,4.0,Rockin Around The Christmas Tree.json
Jingle Bell Rock,Jingle Bell Rock,Bobby Helms,130973.0,7vQbuQcyTflfCIOu3Uzzya,spotify:track:7vQbuQcyTflfCIOu3Uzzya,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,62.0,[50],50.0,False,,,Bobby Helms  Jingle Bell Rock Official Lyric Video.wav,131.0,['adult standards'],0.754,0.424,2.0,-8.463,1.0,0.0363,0.643,0.0,0.0652,0.806,119.705,4.0,Jingle Bell Rock.json
A Holly Jolly Christmas,A Holly Jolly Christmas - Single Version,Burl Ives,135533.0,77khP2fIVhSW23NwxrRluh,spotify:track:77khP2fIVhSW23NwxrRluh,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh,54.0,[48],48.0,False,,,Burl Ives  Holly Jolly Christmas Lyrics.wav,154.0,"['adult standards', 'american folk revival', 'lounge']",0.683,0.375,0.0,-13.056,1.0,0.0303,0.579,0.0,0.076,0.888,140.467,4.0,A Holly Jolly Christmas.json
Circles,Circles,Post Malone,215280.0,21jGcNKet2qwijlDFuPiPb,spotify:track:21jGcNKet2qwijlDFuPiPb,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,86.0,[91],91.0,False,,,Post Malone  Circles Lyrics.wav,215.0,"['dfw rap', 'melodic rap', 'rap']",0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,4.0,Circles.json
Roxanne,ROXANNE,Arizona Zervas,163636.0,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,80.0,[72],72.0,True,https://p.scdn.co/mp3-preview/fb038785189bb62741f4be5d5c761291fcac640a?cid=064f7f00e33f41f2ba917f2f07083867,previews/Roxanne.wav,Arizona Zervas  ROXANNE Lyrics.wav,161.0,"['pop rap', 'rhode island rap', 'social media pop']",0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,5.0,Roxanne.json
It's The Most Wonderful Time Of The Year,It's the Most Wonderful Time of the Year,Andy Williams,151933.0,5hslUAKq9I9CG2bAulFkHN,spotify:track:5hslUAKq9I9CG2bAulFkHN,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,59.0,[62],62.0,False,https://p.scdn.co/mp3-preview/75599af0839478f9d8e68ee63b766f6e193159b7?cid=064f7f00e33f41f2ba917f2f07083867,previews/Its The Most Wonderful Time Of The Year.wav,Andy Williams  Its the Most Wonderful Time of the Year Official Audio.wav,154.0,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",0.24,0.598,7.0,-8.435,1.0,0.0369,0.766,0.0,0.117,0.776,201.629,3.0,Its The Most Wonderful Time Of The Year.json
Someone You Loved,Someone You Loved,Lewis Capaldi,182160.0,7qEHsqek33rTcFNT9PFqLf,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,86.0,[82],82.0,False,,,Lewis Capaldi  Someone You Loved Lyrics.wav,182.0,"['pop', 'uk pop']",0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,4.0,Someone You Loved.json
Memories,Memories,Maroon 5,189486.0,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,86.0,[90],90.0,False,,,Maroon 5  Memories Lyrics.wav,185.0,"['pop', 'pop rock']",0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,4.0,Memories.json
Good As Hell,Good as Hell,Lizzo,159735.0,6KgBpzTuTRPebChN0VTyzV,spotify:track:6KgBpzTuTRPebChN0VTyzV,https://open.spotify.com/track/6KgBpzTuTRPebChN0VTyzV,74.0,[76],76.0,False,https://p.scdn.co/mp3-preview/dfc3d6a9e7eb030e89df2e21d350b2e7be116faa?cid=064f7f00e33f41f2ba917f2f07083867,previews/Good As Hell.wav,Lizzo  Good As Hell Lyrics.wav,155.0,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",0.682,0.919,0.0,-3.18,0.0,0.0875,0.256,0.0,0.442,0.535,95.982,4.0,Good As Hell.json
Last Christmas,Last Christmas,Wham!,262960.0,2FRnf9qhLbvw8fu4IBXx78,spotify:track:2FRnf9qhLbvw8fu4IBXx78,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,67.0,[70],70.0,False,https://p.scdn.co/mp3-preview/e0977ffe721d032577fa5ae8a82ee79540c26970?cid=064f7f00e33f41f2ba917f2f07083867,previews/Last Christmas.wav,Wham  Last Christmas Lyrics.wav,304.0,"['disco', 'europop', 'new romantic', 'new wave pop', 'soft rock']",0.735,0.478,2.0,-12.472,1.0,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4.0,Last Christmas.json
Feliz Navidad,Feliz Navidad,Jose Feliciano,201373.0,2yO49osIl1AiJpjsEsj3yn,spotify:track:2yO49osIl1AiJpjsEsj3yn,https://open.spotify.com/track/2yO49osIl1AiJpjsEsj3yn,0.0,[75],75.0,False,,,Feliz Navidad Jose Feliciano lyrics HQ.wav,190.0,"['contemporary country', 'country dawn', 'pop', 'texas country']",0.724,0.566,7.0,-5.117,1.0,0.0305,0.617,0.00023,0.234,0.873,131.174,4.0,Feliz Navidad.json
The Box,The Box,Roddy Ricch,196652.0,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,82.0,[84],84.0,True,https://p.scdn.co/mp3-preview/efbcc9db8f3ad5b8fc9b379bbf93f991e47c7358?cid=064f7f00e33f41f2ba917f2f07083867,previews/The Box.wav,Roddy Ricch  The Box Lyrics.wav,197.0,"['melodic rap', 'rap', 'trap']",0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,4.0,The Box.json
Dance Monkey,Dance Monkey,Tones And I,209438.0,2XU0oxnq2qxCpomAAuJY8K,spotify:track:2XU0oxnq2qxCpomAAuJY8K,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,80.0,[78],78.0,False,https://p.scdn.co/mp3-preview/69bd9b5e4698ed9c4cbd35f78acbb4937eba3ecc?cid=064f7f00e33f41f2ba917f2f07083867,previews/Dance Monkey.wav,Tones and I  Dance Monkey Lyrics.wav,209.0,"['australian pop', 'pop']",0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,4.0,Dance Monkey.json
"Let It Snow, Let It Snow, Let It Snow",Let It Snow,Dean Martin,133973.0,1XCoNahvbVGQWf0fON23qW,spotify:track:1XCoNahvbVGQWf0fON23qW,https://open.spotify.com/track/1XCoNahvbVGQWf0fON23qW,0.0,[77],77.0,False,,,Dean Martin  Let It Snow Lyrics.wav,121.0,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",0.507,0.87,11.0,-4.129,1.0,0.0686,0.268,0.0,0.161,0.591,119.193,4.0,Let It Snow Let It Snow Let It Snow.json
The Christmas Song (Merry Christmas To You),The Christmas Song (Merry Christmas To You),Nat King Cole,192160.0,4PS1e8f2LvuTFgUs1Cn3ON,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON,56.0,[70],70.0,False,,,Nat King Cole  The Christmas Song Merry Christmas To You Lyric Video.wav,193.0,"['adult standards', 'lounge', 'vocal jazz']",0.319,0.21,1.0,-15.231,1.0,0.0341,0.92,8.06e-05,0.138,0.209,78.696,4.0,The Christmas Song Merry Christmas To You.json
"10,000 Hours","10,000 Hours (with Justin Bieber)",Dan + Shay & Justin Bieber,167693.0,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,79.0,"[77, 96]",86.5,False,https://p.scdn.co/mp3-preview/cc200787df581ee0d68901463212f6cf76165113?cid=064f7f00e33f41f2ba917f2f07083867,previews/10000 Hours.wav,Dan  Shay Justin Bieber  10000 Hours Official Music Video.wav,176.0,"['contemporary country', 'country', 'pop', 'canadian pop']",0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,4.0,10000 Hours.json
Lose You To Love Me,Lose You To Love Me,Selena Gomez,206458.0,4l0Mvzj72xxOpRrp6h8nHi,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,81.0,[86],86.0,False,,,Selena Gomez  Lose You To Love Me Lyrics.wav,198.0,"['dance pop', 'pop', 'post-teen pop']",0.488,0.343,4.0,-8.985,1.0,0.0436,0.556,0.0,0.21,0.0978,102.819,4.0,Lose You To Love Me.json
Ballin',Ballin' (with Roddy Ricch),Mustard & Roddy Ricch,180434.0,3QzAOrNlsabgbMwlZt7TAY,spotify:track:3QzAOrNlsabgbMwlZt7TAY,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,79.0,"[78, 84]",81.0,True,,,Mustard  Ballin’ ft Roddy Ricch.wav,193.0,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'melodic rap']",0.809,0.545,7.0,-6.678,1.0,0.0735,0.392,0.0,0.151,0.244,97.008,4.0,Ballin.json
BOP,BOP,DaBaby,159714.0,6Ozh9Ok6h4Oi1wUSLtBseN,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,78.0,[89],89.0,True,,,DaBaby  BOP on Broadway Hip Hop Musical.wav,184.0,"['north carolina hip hop', 'rap', 'trap']",0.769,0.787,11.0,-3.909,1.0,0.367,0.189,0.0,0.129,0.836,126.77,4.0,BOP.json
Sleigh Ride,Sleigh Ride,The Ronettes,159440.0,6kJ4Eyo6Z2g5WwkJ1rJjlB,spotify:track:6kJ4Eyo6Z2g5WwkJ1rJjlB,https://open.spotify.com/track/6kJ4Eyo6Z2g5WwkJ1rJjlB,0.0,[70],70.0,False,,,The Ronettes  Sleigh Ride Lyrics.wav,201.0,"['adult standards', 'folk rock', 'mellow gold', 'soft rock']",0.47,0.232,11.0,-15.662,1.0,0.195,0.872,0.0,0.104,0.551,201.262,4.0,Sleigh Ride.json
Rudolph The Red-Nosed Reindeer,Rudolph The Red-Nosed Reindeer,Gene Autry,130026.0,47otoIkhx3fkdivEXL5OB6,spotify:track:47otoIkhx3fkdivEXL5OB6,https://open.spotify.com/track/47otoIkhx3fkdivEXL5OB6,49.0,[48],48.0,False,,,Gene Autry  Rudolph the red nosed reindeer lyrics.wav,192.0,"['adult standards', 'american folk revival', 'lounge']",0.67,0.275,0.0,-12.755,1.0,0.0385,0.671,0.0,0.199,0.806,152.649,4.0,Rudolph The RedNosed Reindeer.json
Bad Guy,bad guy,Billie Eilish,194087.0,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,85.0,[92],92.0,False,,,Billie Eilish  bad guy Lyrics.wav,194.0,"['art pop', 'electropop', 'pop']",0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,4.0,Bad Guy.json
